USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
parasshivprasadkulkarni   768   0.0  0.7 444778112  62272   ??  S    12:00PM   3:25.51 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (GPU).app/Contents/MacOS/Google Chrome Helper (GPU) --type=gpu-process --metrics-client-id=ad29238d-a17b-4b52-9706-c2f6c8f4834d --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAMAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=1718379636,r,15231694984273348378,7387925993439321211,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=28
parasshivprasadkulkarni   764   0.0  0.7 416508512  60176   ??  R    12:00PM   2:53.79 /Applications/Grammarly Desktop.app/Contents/MacOS/Grammarly Desktop launchSourceLoginItem
parasshivprasadkulkarni   758   0.0  0.3 426987296  22208   ??  Ss   12:00PM   0:04.18 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
root               763   0.0  0.2 426961424  14256   ??  Ss   12:00PM   0:05.03 /usr/libexec/gamepolicyd
parasshivprasadkulkarni   761   0.0  0.0 443714288   1408   ??  S    12:00PM   0:00.03 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/parasshivprasadkulkarni/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/parasshivprasadkulkarni/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=137.0.7151.104 --handshake-fd=5
parasshivprasadkulkarni   753   0.0  0.7 427024000  55808   ??  Ss   12:00PM   0:02.73 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
parasshivprasadkulkarni   757   0.0  0.1 426908128   9248   ??  S    12:00PM   0:00.28 /usr/libexec/avconferenced
parasshivprasadkulkarni   756   0.0  0.0 426912032   2000   ??  S    12:00PM   0:00.12 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
parasshivprasadkulkarni   743   0.0  0.4 427228144  35472   ??  Ss   12:00PM   0:01.00 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
parasshivprasadkulkarni   749   0.0  0.1 426950800   7328   ??  S    12:00PM   0:00.24 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
_fpsd              747   0.0  0.1 426919920   4592   ??  Ss   12:00PM   0:01.85 /System/Library/PrivateFrameworks/CoreADI.framework/adid
root               745   0.0  0.2 426968032  12880   ??  Ss   12:00PM   0:00.41 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
parasshivprasadkulkarni   744   0.0  0.2 411514928  17248   ??  S    12:00PM   0:00.38 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
parasshivprasadkulkarni   707   0.0  0.2 426951440  14080   ??  S    12:00PM   0:17.59 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
parasshivprasadkulkarni   740   0.0  3.1 478558352 256528   ??  S    12:00PM   5:38.55 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
parasshivprasadkulkarni   739   0.0  0.1 426977376  11984   ??  Ss   12:00PM   0:00.62 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
parasshivprasadkulkarni   737   0.0  0.2 427185600  14144   ??  Ss   12:00PM   0:03.86 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
parasshivprasadkulkarni   688   0.0  0.4 427235584  36416   ??  Ss   12:00PM   0:02.39 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
parasshivprasadkulkarni   735   0.0  0.1 426956624  10672   ??  S    12:00PM   0:00.68 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
parasshivprasadkulkarni   733   0.0  0.2 426979808  20480   ??  S    12:00PM   0:12.10 /usr/libexec/searchpartyuseragent
parasshivprasadkulkarni   730   0.0  0.1 426916288   4416   ??  S    12:00PM   0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
parasshivprasadkulkarni   728   0.0  0.2 426997200  13840   ??  S    12:00PM   0:00.94 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
parasshivprasadkulkarni   726   0.0  0.2 411290640  17200   ??  S    12:00PM   0:04.81 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
parasshivprasadkulkarni   722   0.0  0.1 411386608  12176   ??  S    12:00PM   0:00.65 /Applications/Grammarly Desktop.app/Contents/Library/LaunchAgents/Grammarly Desktop Helper.app/Contents/MacOS/Grammarly Desktop Helper
parasshivprasadkulkarni   717   0.0  0.2 426960160  18256   ??  S    12:00PM   0:04.22 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
parasshivprasadkulkarni   703   0.0  0.2 426962672  18544   ??  S    12:00PM   0:02.86 /System/Library/PrivateFrameworks/HearingCore.framework/heard
parasshivprasadkulkarni   713   0.0  0.0 426950176   3824   ??  S    12:00PM   0:00.10 /System/Library/Image Capture/Support/icdd
parasshivprasadkulkarni   704   0.0  0.3 427019312  21600   ??  S    12:00PM   0:52.53 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
parasshivprasadkulkarni   716   0.0  0.1 410979232  12272   ??  S    12:00PM   0:00.27 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
parasshivprasadkulkarni   720   0.0  0.2 411697344  20704   ??  S    12:00PM   0:02.04 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
parasshivprasadkulkarni   709   0.0  0.1 410695824  10928   ??  S    12:00PM   0:00.15 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
root               725   0.0  0.1 426916256   4256   ??  Ss   12:00PM   0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
parasshivprasadkulkarni   702   0.0  0.3 426957648  26800   ??  S    12:00PM   0:03.01 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
parasshivprasadkulkarni   700   0.0  0.1 426959680   8464   ??  S    12:00PM   0:35.24 /System/Library/Frameworks/Contacts.framework/Support/contactsd
parasshivprasadkulkarni   697   0.0  0.1 426950352  10112   ??  S    12:00PM   0:00.30 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
parasshivprasadkulkarni   698   0.0  0.1 426950736   7360   ??  S    12:00PM   0:00.43 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
parasshivprasadkulkarni   694   0.0  0.1 426916400   5376   ??  S    12:00PM   0:00.09 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
parasshivprasadkulkarni   693   0.0  0.1 426926304   7360   ??  Ss   12:00PM   0:00.48 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
parasshivprasadkulkarni   690   0.0  0.2 426963808  20656   ??  S    12:00PM   0:02.95 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
parasshivprasadkulkarni   689   0.0  0.1 426949584  10368   ??  S    12:00PM   0:00.41 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
parasshivprasadkulkarni   687   0.0  0.2 426969392  14720   ??  Ss   12:00PM   0:05.10 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
parasshivprasadkulkarni   651   0.0  0.1 427002288  12400   ??  Ss   12:00PM   0:00.34 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
root               684   0.0  0.1 426950896   5184   ??  Ss   12:00PM   0:00.58 /usr/libexec/countryd
parasshivprasadkulkarni   683   0.0  0.1 426956064  10544   ??  S    12:00PM   0:01.57 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
parasshivprasadkulkarni   682   0.0  0.6 427186128  47616   ??  S    12:00PM   0:10.77 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
parasshivprasadkulkarni   681   0.0  0.3 411112192  22128   ??  S    12:00PM   0:01.14 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
parasshivprasadkulkarni   679   0.0  0.1 426959616   6288   ??  S    12:00PM   0:00.13 /System/Library/CoreServices/pbs
parasshivprasadkulkarni   680   0.0  0.4 412438384  36848   ??  S    12:00PM   0:09.38 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
parasshivprasadkulkarni   676   0.0  0.4 411471408  30144   ??  S    12:00PM   0:19.29 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
parasshivprasadkulkarni   675   0.0  0.0 426913024   2016   ??  S    12:00PM   0:00.05 /System/Library/CoreServices/ReportCrash agent
parasshivprasadkulkarni   669   0.0  0.2 426963488  17072   ??  S    12:00PM   0:01.03 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
parasshivprasadkulkarni   667   0.0  0.1 426955968  11728   ??  S    12:00PM   0:00.39 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
_nearbyd           668   0.0  0.1 426961424   8144   ??  Ss   12:00PM   0:01.14 /usr/libexec/nearbyd
parasshivprasadkulkarni   663   0.0  0.3 426965568  21760   ??  S    12:00PM   0:01.16 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
parasshivprasadkulkarni   662   0.0  0.2 426967488  16608   ??  S    12:00PM   0:02.32 /usr/libexec/transparencyd
parasshivprasadkulkarni   658   0.0  0.1 426953648  11760   ??  S    12:00PM   0:00.52 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
parasshivprasadkulkarni   665   0.0  0.2 426951456  13072   ??  S    12:00PM   0:00.39 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
parasshivprasadkulkarni   657   0.0  0.3 426967872  25168   ??  S    12:00PM   0:04.20 /usr/libexec/sharingd
_ctkd              664   0.0  0.1 426950080   5040   ??  Ss   12:00PM   0:00.06 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
parasshivprasadkulkarni   660   0.0  0.2 426980208  19296   ??  S    12:00PM   0:01.48 /usr/libexec/linkd
parasshivprasadkulkarni   656   0.0  0.4 426999056  33984   ??  S    12:00PM   0:42.86 /usr/libexec/duetexpertd
parasshivprasadkulkarni   655   0.0  0.1 426950800   6224   ??  S    12:00PM   0:01.11 /usr/libexec/swcd
_appleevents       602   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.35 /usr/sbin/distnoted agent
parasshivprasadkulkarni   659   0.0  0.1 426950416   6944   ??  S    12:00PM   0:00.20 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
parasshivprasadkulkarni   649   0.0  0.3 426967216  27632   ??  S    12:00PM   1:02.45 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
parasshivprasadkulkarni   654   0.0  0.1 426950752   9504   ??  S    12:00PM   0:00.15 /usr/libexec/icloudmailagent
parasshivprasadkulkarni   644   0.0  0.1 426973600   6448   ??  S    12:00PM   0:01.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
root               652   0.0  0.1 426950512   6320   ??  Ss   12:00PM   0:00.14 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
parasshivprasadkulkarni   645   0.0  0.1 426959104  11600   ??  S    12:00PM   0:00.82 /usr/libexec/neagent
parasshivprasadkulkarni   650   0.0  0.3 410900224  27376   ??  Ss   12:00PM   0:02.46 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
parasshivprasadkulkarni   646   0.0  0.1 426918000   7584   ??  S    12:00PM   0:00.91 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
parasshivprasadkulkarni   642   0.0  0.3 431101888  28496   ??  S    12:00PM   0:05.55 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
parasshivprasadkulkarni   647   0.0  0.1 426926400  10912   ??  Ss   12:00PM   0:00.34 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
parasshivprasadkulkarni   628   0.0  0.1 426951216  10976   ??  S    12:00PM   0:00.40 /usr/libexec/ContinuityCaptureAgent server
_oahd              643   0.0  0.0 426912784   1392   ??  Ss   12:00PM   0:00.03 /usr/libexec/rosetta/oahd
parasshivprasadkulkarni   634   0.0  0.1 426953568  12048   ??  S    12:00PM   0:36.16 /usr/libexec/triald
parasshivprasadkulkarni   629   0.0  0.1 426954976   8384   ??  S    12:00PM   0:00.21 /usr/libexec/intelligentroutingd
parasshivprasadkulkarni   631   0.0  0.2 426954336  15856   ??  S    12:00PM   0:00.69 /System/Library/CoreServices/audioaccessoryd
parasshivprasadkulkarni   639   0.0  0.1 426951568   9232   ??  S    12:00PM   0:11.95 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
parasshivprasadkulkarni   630   0.0  0.2 426967376  19360   ??  S    12:00PM   0:01.11 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
parasshivprasadkulkarni   632   0.0  0.1 410863696   8944   ??  Ss   12:00PM   0:00.13 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension
parasshivprasadkulkarni   619   0.0  0.1 426962048   5184   ??  S    12:00PM   0:00.10 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
parasshivprasadkulkarni   616   0.0  0.2 426972288  20080   ??  S    12:00PM   0:03.81 /usr/libexec/networkserviceproxy
parasshivprasadkulkarni   617   0.0  0.3 426982496  26912   ??  S    12:00PM   1:12.49 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
parasshivprasadkulkarni   624   0.0  0.3 426980928  25392   ??  S    12:00PM   0:03.68 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
parasshivprasadkulkarni   612   0.0  0.3 427140128  29216   ??  S    12:00PM   0:07.16 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
parasshivprasadkulkarni   622   0.0  0.3 427008608  28288   ??  S    12:00PM   0:07.35 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
parasshivprasadkulkarni   621   0.0  0.3 426970896  26384   ??  S    12:00PM   0:02.51 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
parasshivprasadkulkarni   618   0.0  0.2 426959408  13088   ??  S    12:00PM   0:01.08 /usr/libexec/pkd
parasshivprasadkulkarni   620   0.0  0.2 427128512  15904   ??  S    12:00PM   0:00.87 /System/Library/CoreServices/iconservicesagent
parasshivprasadkulkarni   598   0.0  0.2 427110096  15536   ??  S    12:00PM   0:00.37 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
parasshivprasadkulkarni   608   0.0  0.2 426960384  13744   ??  S    12:00PM   0:00.65 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
parasshivprasadkulkarni   615   0.0  0.2 426968576  17728   ??  S    12:00PM   0:02.07 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
parasshivprasadkulkarni   610   0.0  0.4 426994960  33888   ??  S    12:00PM   0:06.11 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
parasshivprasadkulkarni   614   0.0  0.2 426977056  19808   ??  S    12:00PM   0:01.55 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
parasshivprasadkulkarni   613   0.0  0.1 426960560  12320   ??  S    12:00PM   0:07.95 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
parasshivprasadkulkarni   596   0.0  0.3 426973056  24608   ??  S    12:00PM   0:41.00 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
parasshivprasadkulkarni   604   0.0  0.1 426952288  11488   ??  S    12:00PM   0:00.41 /System/Library/CoreServices/sharedfilelistd
parasshivprasadkulkarni   605   0.0  0.1 426949312   8176   ??  S    12:00PM   0:01.91 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
parasshivprasadkulkarni   606   0.0  0.0 426916816   3984   ??  S    12:00PM   0:01.50 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
parasshivprasadkulkarni   593   0.0  0.1 426951184   6576   ??  S    12:00PM   0:02.07 /System/Library/CoreServices/lockoutagent
root               603   0.0  0.0 426917920   1744   ??  Ss   12:00PM   0:00.03 automountd
parasshivprasadkulkarni   599   0.0  0.2 411399344  18592   ??  S    12:00PM   0:01.31 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
root               600   0.0  0.1 426927152  11168   ??  Ss   12:00PM   0:09.63 /usr/sbin/filecoordinationd
parasshivprasadkulkarni   597   0.0  0.1 426955952  12544   ??  S    12:00PM   0:21.71 /usr/libexec/trustd --agent
parasshivprasadkulkarni   595   0.0  0.5 427491152  38352   ??  S    12:00PM   0:04.96 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
parasshivprasadkulkarni   590   0.0  0.3 426970864  26368   ??  S    12:00PM   0:05.80 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
parasshivprasadkulkarni   591   0.0  0.3 426969152  21728   ??  S    12:00PM   0:01.51 /usr/sbin/usernoted
parasshivprasadkulkarni   592   0.0  0.1 426960304  10656   ??  S    12:00PM   0:01.81 /usr/libexec/secinitd
parasshivprasadkulkarni   587   0.0  0.2 426959024  18192   ??  S    12:00PM   0:01.56 /usr/libexec/rapportd
parasshivprasadkulkarni   588   0.0  0.1 426902496  11968   ??  Ss   12:00PM   0:00.29 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
parasshivprasadkulkarni   585   0.0  0.2 426969328  20336   ??  S    12:00PM   0:45.34 /usr/libexec/nsurlsessiond
parasshivprasadkulkarni   582   0.0  0.2 426970304  20112   ??  S    12:00PM   0:06.28 /usr/libexec/secd
parasshivprasadkulkarni   578   0.0  0.2 426961504  15088   ??  S    12:00PM   0:02.63 /usr/libexec/lsd
parasshivprasadkulkarni   576   0.0  1.2 412531280 102800   ??  R    12:00PM   2:42.70 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
parasshivprasadkulkarni   575   0.0  0.2 411387632  15408   ??  S    12:00PM   0:00.57 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
parasshivprasadkulkarni   573   0.0  0.1 426967760  11456   ??  S    12:00PM   0:03.86 /System/Library/CoreServices/talagentd
parasshivprasadkulkarni   572   0.0  0.3 411710720  26912   ??  S    12:00PM   0:21.37 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
parasshivprasadkulkarni   571   0.0  0.1 426926432   8288   ??  S    12:00PM   0:00.74 /usr/libexec/pboard
parasshivprasadkulkarni   562   0.0  0.2 426952832  14016   ??  S    12:00PM   0:02.71 /usr/libexec/UserEventAgent (Aqua)
parasshivprasadkulkarni   570   0.0  0.2 426969776  18944   ??  S    12:00PM   0:02.50 /usr/libexec/knowledge-agent
parasshivprasadkulkarni   567   0.0  0.3 411786336  23600   ??  S    12:00PM   0:29.48 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
parasshivprasadkulkarni   568   0.0  0.2 411806960  19456   ??  S    12:00PM   0:00.65 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
parasshivprasadkulkarni   569   0.0  0.2 410973792  13376   ??  S    12:00PM   0:01.26 /usr/sbin/universalaccessd launchd -s
root               565   0.0  0.1 426954224  11936   ??  Ss   12:00PM   0:07.18 /usr/libexec/wifianalyticsd
_spotlight         559   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.36 /usr/sbin/distnoted agent
root               560   0.0  0.2 427032048  12944   ??  Ss   12:00PM   0:08.13 /usr/libexec/rtcreportingd
parasshivprasadkulkarni   555   0.0  0.1 426918880   5648   ??  S    12:00PM   0:12.42 /usr/sbin/cfprefsd agent
parasshivprasadkulkarni   554   0.0  0.1 426916640   5072   ??  S    12:00PM   0:10.70 /usr/sbin/distnoted agent
root               552   0.0  0.2 426952128  15536   ??  Ss   12:00PM   0:00.27 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_cmiodalassistants   548   0.0  0.1 426953456   9024   ??  S    12:00PM   0:00.58 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root               546   0.0  0.8 445865664  70656   ??  Ss   12:00PM   2:05.17 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root               539   0.0  0.1 426956384  12288   ??  Ss   12:00PM   0:02.60 /usr/libexec/wifip2pd
root               533   0.0  0.1 426977040  12016   ??  Ss   12:00PM   0:01.34 /usr/libexec/searchpartyd
root               530   0.0  0.0 426917856   3104   ??  Ss   12:00PM   0:00.06 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
_softwareupdate    529   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.36 /usr/sbin/distnoted agent
_locationd         524   0.0  0.1 426953968  10128   ??  S    12:00PM   0:00.85 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_locationd         525   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.37 /usr/sbin/distnoted agent
_cmiodalassistants   520   0.0  0.1 426950800   6880   ??  Ss   12:00PM   0:00.15 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants   519   0.0  0.1 426949808   4320   ??  Ss   12:00PM   0:00.11 /usr/libexec/cameracaptured
_cmiodalassistants   518   0.0  0.1 426954560   6432   ??  Ss   12:00PM   0:00.91 /usr/sbin/appleh13camerad
root               516   0.0  0.1 426951840   5984   ??  Ss   12:00PM   0:01.74 /System/Library/CoreServices/TimeMachine/backupd
_iconservices      341   0.0  0.0 426950464   3264   ??  Ss   12:00PM   0:00.07 /System/Library/CoreServices/iconservicesd
_cmiodalassistants   500   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.37 /usr/sbin/distnoted agent
_driverkit         509   0.0  0.0 426851696    624   ??  Ss   12:00PM   0:00.19 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000baf com.apple.AppleUserHIDDrivers
_driverkit         508   0.0  0.0 426851488    864   ??  Ss   12:00PM   0:00.03 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000b9f com.apple.DriverKit-IOUserDockChannelSerial
root               507   0.0  0.1 426951488   7536   ??  Ss   12:00PM   0:02.43 /usr/libexec/audioanalyticsd
root               506   0.0  0.1 426950832   4944   ??  Ss   12:00PM   0:01.95 /usr/libexec/aned
_modelmanagerd     503   0.0  0.1 426972208   9232   ??  Ss   12:00PM   0:00.33 /usr/libexec/modelmanagerd
_appleevents       502   0.0  0.1 426950784   5328   ??  Ss   12:00PM   0:00.19 /System/Library/CoreServices/appleeventsd --server
root               498   0.0  0.1 426916672   4416   ??  Ss   12:00PM   0:00.31 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
root               495   0.0  0.1 426950048   5504   ??  Ss   12:00PM   0:00.54 /usr/libexec/findmybeaconingd
root               491   0.0  0.1 426950496   5392   ??  Ss   12:00PM   0:00.99 /usr/libexec/securityd_system
root               484   0.0  0.1 426951440   9520   ??  Ss   12:00PM   0:01.80 /usr/sbin/WirelessRadioManagerd
root               448   0.0  0.0 426916736   3280   ??  Ss   12:00PM   0:00.20 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
root               447   0.0  0.1 426963280  12544   ??  Ss   12:00PM   0:26.23 /usr/libexec/syspolicyd
_analyticsd        385   0.0  0.1 426961696  12496   ??  Ss   12:00PM   0:02.59 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
root               443   0.0  0.1 426951664  10560   ??  Ss   12:00PM   0:00.51 /usr/libexec/biometrickitd --launchd
_windowserver      425   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.38 /usr/sbin/distnoted agent
_coreaudiod        423   0.0  0.0 426916640   1888   ??  S    12:00PM   0:00.38 /usr/sbin/distnoted agent
root               404   0.0  0.0 426916640   1984   ??  S    12:00PM   0:00.42 /usr/sbin/distnoted agent
root               436   0.0  0.0 426950672   3168   ??  Ss   12:00PM   0:00.47 /usr/sbin/mDNSResponderHelper
root               435   0.0  0.0 426916320   2928   ??  Ss   12:00PM   0:00.02 /usr/libexec/ApplicationFirewall/socketfilterfw
root               426   0.0  0.1 426951632   7536   ??  Ss   12:00PM   0:01.58 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
_mdnsresponder     421   0.0  0.2 426964432  14064   ??  Ss   12:00PM   0:09.29 /usr/sbin/mDNSResponder
_nsurlsessiond     420   0.0  0.1 426960208  10784   ??  Ss   12:00PM   0:01.32 /usr/libexec/nsurlsessiond --privileged
root               413   0.0  0.2 426962448  12672   ??  Ss   12:00PM   1:19.73 /usr/libexec/mobileassetd
root               417   0.0  0.0 426916256   3696   ??  Ss   12:00PM   3:40.32 /usr/libexec/apfsd
root               410   0.0  0.1 426951104   6624   ??  Ss   12:00PM   0:01.09 /usr/libexec/eligibilityd
root               407   0.0  0.1 426949344   5792   ??  Ss   12:00PM   0:00.65 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root               405   0.0  0.1 426950400   8704   ??  Ss   12:00PM   0:02.83 /usr/libexec/nehelper
