USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
parasshivprasadkulkarni  4523   0.0  0.2 426995744  15088   ??  S     3:17PM   0:00.80 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
root              4522   0.0  0.1 426964496   9520   ??  Ss    3:17PM   0:01.50 /System/Library/CoreServices/iconservicesagent runAsRoot
root              4515   0.0  0.1 426951616   4816   ??  Ss    3:17PM   0:00.12 /usr/libexec/ASPCarryLog
parasshivprasadkulkarni  4512   0.0  0.1 426950528   5952   ??  S     3:17PM   0:00.11 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
parasshivprasadkulkarni  4509   0.0  0.1 426917504   8272   ??  S     3:17PM   0:00.13 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
root              4507   0.0  0.1 426916704   5248   ??  Ss    3:17PM   0:00.03 /usr/libexec/microstackshot
parasshivprasadkulkarni  4508   0.0  0.1 427116736  11792   ??  S     3:17PM   0:00.34 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
parasshivprasadkulkarni  4505   0.0  0.1 410754544   4480   ??  Ss    3:16PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedSettingsSubscriber.xpc/Contents/MacOS/ManagedSettingsSubscriber
_rmd              4504   0.0  0.1 410754096   4368   ??  Ss    3:16PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
parasshivprasadkulkarni  4503   0.0  0.1 410921056   6160   ??  Ss    3:16PM   0:00.11 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ASConfigurationSubscriber.xpc/Contents/MacOS/ASConfigurationSubscriber
parasshivprasadkulkarni  4502   0.0  0.1 410753440   4224   ??  Ss    3:16PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
_rmd              4501   0.0  0.0 410884496   4016   ??  Ss    3:16PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
_rmd              4500   0.0  0.1 410754048   5792   ??  Ss    3:16PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SoftwareUpdateSubscriber.xpc/Contents/MacOS/SoftwareUpdateSubscriber
