--------------------------------------------------------------------------------
			Marvellous Infosystems Process Log
			Log File is Created at : Sun Jun 15 20:16:53 2025
--------------------------------------------------------------------------------{'username': 'root', 'name': 'loginwindow', 'pid': 387, 'vms': 402582.125} 
{'username': 'parasshivprasadkulkarni', 'name': 'FindMyWidgetPeople', 'pid': 811, 'vms': 416955.125} 

{'username': 'parasshivprasadkulkarni', 'name': 'CloudTelemetryService', 'pid': 812, 'vms': 401844.359375} 

{'username': 'parasshivprasadkulkarni', 'name': 'TipsWidgetExtension', 'pid': 813, 'vms': 416954.5} 

{'username': 'parasshivprasadkulkarni', 'name': 'BatteriesAvocadoWidgetExtension', 'pid': 816, 'vms': 416954.796875} 

{'username': 'parasshivprasadkulkarni', 'name': 'HomeWidget', 'pid': 818, 'vms': 416955.09375} 

{'username': 'parasshivprasadkulkarni', 'name': 'PhotosReliveWidget', 'pid': 822, 'vms': 416954.78125} 

{'username': 'parasshivprasadkulkarni', 'name': 'HomeEnergyWidgetsExtension', 'pid': 823, 'vms': 416955.609375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Keychain Circle Notification', 'pid': 829, 'vms': 416961.125} 

{'username': 'parasshivprasadkulkarni', 'name': 'seserviced', 'pid': 831, 'vms': 416944.609375} 

{'username': 'parasshivprasadkulkarni', 'name': 'mdbulkimport', 'pid': 839, 'vms': 416954.0625} 

{'username': 'parasshivprasadkulkarni', 'name': 'Electron', 'pid': 842, 'vms': 1559064.03125} 

{'username': 'parasshivprasadkulkarni', 'name': 'chrome_crashpad_handler', 'pid': 845, 'vms': 433295.359375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (GPU)', 'pid': 846, 'vms': 433960.265625} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'pid': 847, 'vms': 433574.9375} 

{'username': 'parasshivprasadkulkarni', 'name': 'BackgroundTaskManagementAgent', 'pid': 850, 'vms': 416961.375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Renderer)', 'pid': 852, 'vms': 1562927.515625} 

{'username': 'parasshivprasadkulkarni', 'name': 'ThemeWidgetControlViewService', 'pid': 861, 'vms': 401471.0} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'pid': 866, 'vms': 1558568.609375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'pid': 867, 'vms': 1558586.921875} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'pid': 873, 'vms': 1558562.5} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper', 'pid': 874, 'vms': 1558569.296875} 

{'username': 'parasshivprasadkulkarni', 'name': 'SoftwareUpdateNotificationManager', 'pid': 876, 'vms': 417100.875} 

{'username': 'parasshivprasadkulkarni', 'name': 'zsh', 'pid': 877, 'vms': 400778.1875} 

{'username': 'parasshivprasadkulkarni', 'name': 'pet', 'pid': 883, 'vms': 400908.609375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'pid': 884, 'vms': 1558546.25} 

{'username': 'parasshivprasadkulkarni', 'name': 'zsh', 'pid': 890, 'vms': 400650.1875} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'pid': 915, 'vms': 1567045.671875} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'pid': 934, 'vms': 1558498.078125} 

{'username': 'parasshivprasadkulkarni', 'name': 'Code Helper (Plugin)', 'pid': 951, 'vms': 1558503.078125} 

{'username': 'parasshivprasadkulkarni', 'name': 'AppPredictionIntentsHelperService', 'pid': 1029, 'vms': 401584.140625} 

{'username': 'parasshivprasadkulkarni', 'name': 'assistant_service', 'pid': 1034, 'vms': 416955.90625} 

{'username': 'parasshivprasadkulkarni', 'name': 'CalendarIntentsExtension', 'pid': 1036, 'vms': 416953.21875} 

{'username': 'parasshivprasadkulkarni', 'name': 'SafariLinkExtension', 'pid': 1037, 'vms': 416953.203125} 

{'username': 'parasshivprasadkulkarni', 'name': 'MessagesActionExtension', 'pid': 1038, 'vms': 416952.96875} 

{'username': 'parasshivprasadkulkarni', 'name': 'appstoreagent', 'pid': 1039, 'vms': 416992.0} 

{'username': 'parasshivprasadkulkarni', 'name': 'storeaccountd', 'pid': 1061, 'vms': 416943.3125} 

{'username': 'parasshivprasadkulkarni', 'name': 'OSDUIHelper', 'pid': 1080, 'vms': 401652.640625} 

{'username': 'parasshivprasadkulkarni', 'name': 'SiriNCService', 'pid': 1163, 'vms': 417171.671875} 

{'username': 'parasshivprasadkulkarni', 'name': 'spotlightknowledged', 'pid': 1198, 'vms': 401546.640625} 

{'username': 'parasshivprasadkulkarni', 'name': 'dataaccessd', 'pid': 1280, 'vms': 416954.75} 

{'username': 'parasshivprasadkulkarni', 'name': 'metrickitd', 'pid': 1282, 'vms': 416944.4375} 

{'username': 'parasshivprasadkulkarni', 'name': 'AppleSpell', 'pid': 1462, 'vms': 417418.171875} 

{'username': 'parasshivprasadkulkarni', 'name': 'keyboardservicesd', 'pid': 1464, 'vms': 416948.15625} 

{'username': 'parasshivprasadkulkarni', 'name': 'Google Chrome Helper', 'pid': 2405, 'vms': 433920.578125} 

{'username': 'parasshivprasadkulkarni', 'name': 'VTDecoderXPCService', 'pid': 2421, 'vms': 416890.8125} 

{'username': 'parasshivprasadkulkarni', 'name': 'Google Chrome Helper (Plugin)', 'pid': 2498, 'vms': 433783.234375} 

{'username': 'parasshivprasadkulkarni', 'name': 'MTLCompilerService', 'pid': 2499, 'vms': 416972.671875} 

{'username': 'parasshivprasadkulkarni', 'name': 'ndoagent', 'pid': 2503, 'vms': 416939.515625} 

{'username': 'parasshivprasadkulkarni', 'name': 'replayd', 'pid': 2507, 'vms': 416958.875} 

{'username': 'parasshivprasadkulkarni', 'name': 'AuthenticationServicesAgent', 'pid': 2528, 'vms': 421348.375} 

{'username': 'parasshivprasadkulkarni', 'name': 'CredentialProviderExtensionHelper', 'pid': 2529, 'vms': 400578.046875} 

{'username': 'parasshivprasadkulkarni', 'name': 'keychainsharingmessagingd', 'pid': 2530, 'vms': 416911.015625} 

{'username': 'parasshivprasadkulkarni', 'name': 'intents_helper', 'pid': 2577, 'vms': 416906.859375} 

{'username': 'parasshivprasadkulkarni', 'name': 'SAExtensionOrchestrator', 'pid': 2854, 'vms': 401177.71875} 

{'username': 'parasshivprasadkulkarni', 'name': 'extensionkitservice', 'pid': 2855, 'vms': 416911.390625} 

{'username': 'parasshivprasadkulkarni', 'name': 'BiomeSELFIngestor', 'pid': 2856, 'vms': 416919.71875} 

{'username': 'parasshivprasadkulkarni', 'name': 'GMSSELFIngestor', 'pid': 2857, 'vms': 416952.4375} 

{'username': 'parasshivprasadkulkarni', 'name': 'IFTelemetrySELFIngestor', 'pid': 2858, 'vms': 416952.265625} 

{'username': 'parasshivprasadkulkarni', 'name': 'IFTranscriptSELFIngestor', 'pid': 2859, 'vms': 416952.515625} 

{'username': 'parasshivprasadkulkarni', 'name': 'MTLCompilerService', 'pid': 3125, 'vms': 416972.671875} 

{'username': 'parasshivprasadkulkarni', 'name': 'coreautha', 'pid': 3126, 'vms': 401385.109375} 

{'username': 'parasshivprasadkulkarni', 'name': 'peopled', 'pid': 3159, 'vms': 416951.75} 

{'username': 'parasshivprasadkulkarni', 'name': 'siriinferenced', 'pid': 3160, 'vms': 401152.828125} 

{'username': 'parasshivprasadkulkarni', 'name': 'SiriSuggestionsBookkeepingService', 'pid': 3166, 'vms': 401459.453125} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.AuthenticationServices.Helper', 'pid': 3204, 'vms': 417131.546875} 

{'username': 'parasshivprasadkulkarni', 'name': 'feedbackd', 'pid': 3369, 'vms': 416906.90625} 

{'username': 'parasshivprasadkulkarni', 'name': 'CommCenter', 'pid': 3370, 'vms': 416956.625} 

{'username': 'parasshivprasadkulkarni', 'name': 'siriactionsd', 'pid': 3389, 'vms': 417000.15625} 

{'username': 'parasshivprasadkulkarni', 'name': 'mobiletimerd', 'pid': 3390, 'vms': 416943.546875} 

{'username': 'parasshivprasadkulkarni', 'name': 'UsageTrackingAgent', 'pid': 3391, 'vms': 416945.375} 

{'username': 'parasshivprasadkulkarni', 'name': 'dmd', 'pid': 3392, 'vms': 416948.6875} 

{'username': 'parasshivprasadkulkarni', 'name': 'amsengagementd', 'pid': 3393, 'vms': 416949.046875} 

{'username': 'parasshivprasadkulkarni', 'name': 'ManagedSettingsAgent', 'pid': 3394, 'vms': 416911.875} 

{'username': 'parasshivprasadkulkarni', 'name': 'ContainerMetadataExtractor', 'pid': 3395, 'vms': 416953.03125} 

{'username': 'parasshivprasadkulkarni', 'name': 'spotlightknowledged', 'pid': 3396, 'vms': 417057.21875} 

{'username': 'parasshivprasadkulkarni', 'name': 'amsaccountsd', 'pid': 3398, 'vms': 416949.140625} 

{'username': 'parasshivprasadkulkarni', 'name': 'milod', 'pid': 3399, 'vms': 416949.078125} 

{'username': 'parasshivprasadkulkarni', 'name': 'appleaccountd', 'pid': 3400, 'vms': 416952.0} 

{'username': 'parasshivprasadkulkarni', 'name': 'localizationswitcherd', 'pid': 3401, 'vms': 416952.921875} 

{'username': 'parasshivprasadkulkarni', 'name': 'inputanalyticsd', 'pid': 3404, 'vms': 416943.65625} 

{'username': 'parasshivprasadkulkarni', 'name': 'deleted', 'pid': 3405, 'vms': 416954.3125} 

{'username': 'parasshivprasadkulkarni', 'name': 'mediaanalysisd', 'pid': 3407, 'vms': 417173.9375} 

{'username': 'parasshivprasadkulkarni', 'name': 'cloudphotod', 'pid': 3408, 'vms': 416973.5} 

{'username': 'parasshivprasadkulkarni', 'name': 'adprivacyd', 'pid': 3410, 'vms': 416946.453125} 

{'username': 'parasshivprasadkulkarni', 'name': 'PlugInLibraryService', 'pid': 3415, 'vms': 400550.40625} 

{'username': 'parasshivprasadkulkarni', 'name': 'mapssyncd', 'pid': 3418, 'vms': 416950.59375} 

{'username': 'parasshivprasadkulkarni', 'name': 'photolibraryd', 'pid': 3420, 'vms': 417006.28125} 

{'username': 'parasshivprasadkulkarni', 'name': 'CategoriesService', 'pid': 3424, 'vms': 416952.8125} 

{'username': 'parasshivprasadkulkarni', 'name': 'ContextService', 'pid': 3430, 'vms': 417049.390625} 

{'username': 'parasshivprasadkulkarni', 'name': 'swtransparencyd', 'pid': 3436, 'vms': 416945.453125} 

{'username': 'parasshivprasadkulkarni', 'name': 'ScopedBookmarkAgent', 'pid': 3439, 'vms': 416953.4375} 

{'username': 'parasshivprasadkulkarni', 'name': 'CloudTelemetryService', 'pid': 3440, 'vms': 401288.5} 

{'username': 'parasshivprasadkulkarni', 'name': 'geodMachServiceBridge', 'pid': 3444, 'vms': 416910.859375} 

{'username': 'parasshivprasadkulkarni', 'name': 'photoanalysisd', 'pid': 3454, 'vms': 416956.96875} 

{'username': 'parasshivprasadkulkarni', 'name': 'ProtectedCloudKeySyncing', 'pid': 3501, 'vms': 416944.234375} 

{'username': 'parasshivprasadkulkarni', 'name': 'siriknowledged', 'pid': 3503, 'vms': 416960.96875} 

{'username': 'parasshivprasadkulkarni', 'name': 'IMDPersistenceAgent', 'pid': 3504, 'vms': 416950.484375} 

{'username': 'parasshivprasadkulkarni', 'name': 'SetStoreUpdateService', 'pid': 3505, 'vms': 416943.984375} 

{'username': 'parasshivprasadkulkarni', 'name': 'FontThumbnailExtension', 'pid': 3732, 'vms': 416980.59375} 

{'username': 'parasshivprasadkulkarni', 'name': 'WebThumbnailExtension', 'pid': 3734, 'vms': 421277.28125} 

{'username': 'parasshivprasadkulkarni', 'name': 'com.apple.WebKit.GPU', 'pid': 3736, 'vms': 421348.453125} 

{'username': 'parasshivprasadkulkarni', 'name': 'AudioComponentRegistrar', 'pid': 3738, 'vms': 416943.328125} 

{'username': 'parasshivprasadkulkarni', 'name': 'CarbonComponentScannerXPC', 'pid': 3740, 'vms': 33198.234375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Preview', 'pid': 3743, 'vms': 402565.796875} 

{'username': 'parasshivprasadkulkarni', 'name': 'XprotectService', 'pid': 3744, 'vms': 416944.046875} 

